Label,Founding Year,Entity Type,Type,Image,Website,Twitter,Facebook,LinkedIn,Instagram,Ecosystem Level,MIT Pillars                ,Verticals                        ,Innovation Pipeline Stage                                                                        ,Stakeholder Type                                                                        ,Tags,Location,Node Size,Programs Participated In
MIT Sandbox Innovation Fund Program,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1367168619688439808/TvyMUexp_400x400.jpg,http://sandbox.mit.edu,https://twitter.com/MITSandbox,http://www.facebook.com/mitsandbox,https://www.linkedin.com/company/mit-sandbox-innovation-fund-program/,,Massachusetts Institute of Technology,Innovation|Education,AI - Digital Health|Medical Devices - Med Tech|Biotech - Pharma|Operations - Systems,Prototype Development|Testing & Validation|Mentorship|Funding,Academia,Massachusetts Institute of Technology|AI - Digital Health|Medical Devices - Med Tech|Biotech - Pharma|Operations - Systems|Prototype Development|Testing & Validation|Mentorship|Funding|Academia,"292 Main St, Cambridge, MA 02142",3,
"MIT School of Humanities, Arts, and Social Sciences",,"Center, Department, Institute, Office","Center, Department, Institute, Office",https://pbs.twimg.com/profile_images/1402985096622186515/ChEY3-QL_400x400.jpg,https://shass.mit.edu/research/impact/health,http://twitter.com/mit_shass,https://www.facebook.com/MIT.SHASS/,,,Massachusetts Institute of Technology,,,,Academia,Massachusetts Institute of Technology|Academia,"77 Massachusetts Avenue, Cambridge, MA 02139",3,
MIT SF Grand Hack,2011,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1130119260892798977/dCW4d7ON_400x400.png,https://grandhack.mit.edu/sf,https://twitter.com/mithackmed,https://www.facebook.com/MITHackingMedicine/,https://www.linkedin.com/company/mit-hacking-medicine,http://instagram.com/mithackmed,Massachusetts Institute of Technology,Innovation|Education|Research,AI - Digital Health|Medical Devices - Med Tech|Operations - Systems,Ideation|Customer Discovery|Mentorship|Funding,Academia,Massachusetts Institute of Technology|AI - Digital Health|Medical Devices - Med Tech|Operations - Systems|Ideation|Customer Discovery|Mentorship|Funding|Academia,"292 Main St, Cambridge, MA 02142",2,
MIT Sloan,1914,"Center, Department, Institute, Office","Center, Department, Institute, Office",https://pbs.twimg.com/profile_images/973932722652700672/n7h0JpfE_400x400.jpg,https://mitsloan.mit.edu,https://twitter.com/mitsloan,https://www.facebook.com/MITSloan,https://www.linkedin.com/company/mit-sloan-school-of-management,https://www.instagram.com/mitsloan/,Massachusetts Institute of Technology,Education|Research,,,Academia,Massachusetts Institute of Technology|Academia,"100 Main Street, Cambridge, MA 02142",3,
MIT Sloan Healthcare and BioInnovations Conference,,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1329495319768412165/ogr50ere_400x400.jpg,http://www.sloan-hbc.mit.edu,https://twitter.com/MITBioinnov,https://www.facebook.com/mitsloanbioinnovations,https://www.linkedin.com/company/mit-shbc,https://www.instagram.com/mitsloanbioinnovations/,MIT Sloan,Innovation,AI - Digital Health|Medical Devices - Med Tech|Biotech - Pharma|Operations - Systems,Ideation,Academia,MIT Sloan|AI - Digital Health|Medical Devices - Med Tech|Biotech - Pharma|Operations - Systems|Ideation|Academia,"100 Main Street, Cambridge, MA 02142",2,
MIT Sloan Healthcare Club,,Student Club,Student Club,https://pbs.twimg.com/profile_images/973932722652700672/n7h0JpfE_400x400.jpg,http://www.mitsloanhcc.com,,,,,Massachusetts Institute of Technology,Innovation|Education,,,Academia,Massachusetts Institute of Technology|Academia,"100 Main Street, Cambridge, MA 02142",2,
MIT Social Entrepreneurship Alumni Group (SEAG),1875,"Center, Department, Institute, Office","Center, Department, Institute, Office",https://pbs.twimg.com/profile_images/875446369191944192/MBDN17ut_400x400.jpg,https://alum.mit.edu,http://twitter.com/MIT_alumni,http://www.facebook.com/MITAA,https://www.linkedin.com/groups/69586/,http://instagram.com/mitalumni,Massachusetts Institute of Technology,Innovation|Education,,Mentorship,Academia,Massachusetts Institute of Technology|Mentorship|Academia,"600 Memorial Drive, Cambridge, MA 02139",3,
MIT Solve,2016,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1063542158882496512/Z0JQ9JNk_400x400.jpg,https://solve.mit.edu,https://twitter.com/solvemit,https://www.facebook.com/SolveMIT/,https://www.linkedin.com/company/solveMIT,https://www.instagram.com/solvemit/,Massachusetts Institute of Technology,Innovation,AI - Digital Health|Operations - Systems,Ideation|Mentorship|Funding,Academia,Massachusetts Institute of Technology|AI - Digital Health|Operations - Systems|Ideation|Mentorship|Funding|Academia,"600 Technology Square, Cambridge, MA 02139",3,
MIT Startup Exchange (STEX),2015,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1120311781212282881/rhK71KKk_400x400.png,https://startupexchange.mit.edu,https://twitter.com/MITSTEX,,https://www.linkedin.com/company/mit-industrial-liaison-program/about/,,Massachusetts Institute of Technology,Innovation,AI - Digital Health|Medical Devices - Med Tech|Biotech - Pharma|Operations - Systems,,Academia,Massachusetts Institute of Technology|AI - Digital Health|Medical Devices - Med Tech|Biotech - Pharma|Operations - Systems|Academia,"1 Main Street, Cambridge, MA 02142",2,
MIT Student Venture Studio,2021,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1410602723557339141/uDv7E7r7_400x400.jpg,https://innovation.mit.edu/innovation-infrastructure/ihq/ihq-resident-organizations-2/ihq-resident-organizations-svs/,,,,,Massachusetts Institute of Technology,Innovation,,Ideation|Mentorship,Academia,Massachusetts Institute of Technology|Ideation|Mentorship|Academia,"292 Main St, Cambridge, MA 02142",2,
MIT Tata Center for Technology + Design,2012,"Center, Department, Institute, Office","Center, Department, Institute, Office",https://pbs.twimg.com/profile_images/905408292452802560/6CWEoU5P_400x400.jpg,https://tatacenter.mit.edu,https://twitter.com/TataCenterMIT,https://www.facebook.com/TataCenterMIT/,,https://www.instagram.com/tatacentermit/,Massachusetts Institute of Technology,Innovation|Education,,Ideation|Customer Discovery|Prototype Development|Testing & Validation|Mentorship|Funding,Academia,Massachusetts Institute of Technology|Ideation|Customer Discovery|Prototype Development|Testing & Validation|Mentorship|Funding|Academia,"400 Main Street, Cambridge, MA 02142",3,
MIT Technology Licensing Office (TLO),,"Center, Department, Institute, Office","Center, Department, Institute, Office",https://pbs.twimg.com/profile_images/916018822246797313/atPxi6P5_400x400.jpg,https://tlo.mit.edu,https://twitter.com/MIT_TLO,,,,Massachusetts Institute of Technology,Innovation,,,Academia,Massachusetts Institute of Technology|Academia,"255 Main Street, Cambridge, MA 02142-1601",3,
MIT Venture Exploration Program,2019,"Program, Conference","Program, Conference",https://pbs.twimg.com/profile_images/1410602723557339141/uDv7E7r7_400x400.jpg,https://innovation.mit.edu/vep/; https://vep.mit.edu/,,,,,Massachusetts Institute of Technology,Innovation,,Ideation|Customer Discovery,Academia,Massachusetts Institute of Technology|Ideation|Customer Discovery|Academia,"292 Main St, Cambridge, MA 02142",2,
MIT Venture Mentoring Service,2000,"Center, Department, Institute, Office","Center, Department, Institute, Office",https://pbs.twimg.com/profile_images/1244987305074610181/7blGDAQs_400x400.jpg,https://vms.mit.edu,https://twitter.com/MITVMS,,https://www.linkedin.com/company/mit-vms-outreach-program/about/,,Massachusetts Institute of Technology,Innovation,AI - Digital Health|Medical Devices - Med Tech|Operations - Systems,Mentorship,Academia,Massachusetts Institute of Technology|AI - Digital Health|Medical Devices - Med Tech|Operations - Systems|Mentorship|Academia,"292 Main St, Cambridge, MA 02142",3,
